Tanggal,Target Vaksinasi Tenaga Kesehatan,Vaksinasi 1 Tenaga Kesehatan,Vaksinasi 2 Tenaga Kesehatan,Target Vaksinasi Lansia,Vaksinasi 1 Lansia,Vaksinasi 2 Lansia,Target Vaksinasi Pelayanan Publik,Vaksinasi 1 Pelayanan Publik,Vaksinasi 2 Pelayanan Publik,Total Target Vaksinasi ,Total Vaksinasi 1,Total Vaksinasi 2
5 March 2021,112301,141425,91078,911631,76451,0,1976757,64121,0,3000689,281997,91078
6 March 2021,112301,144046,91379,911631,79421,0,1976757,66484,0,3000689,289951,91379
7 March 2021,112301,177126,91460,911631,83628,0,1976757,73752,2514,3000689,334506,93974
8 March 2021,112301,181237,92988,911631,95140,1,1976757,85333,3989,3000689,361710,96978
9 March 2021,112301,113326,89984,911631,135128,675,1976757,174685,29195,3000689,423139,119854
10 March 2021,112301,116791,90681,911631,154251,1100,1976757,202452,17773,3000689,473494,109554
11 March 2021,112301,116823,90693,911631,154915,1103,1976757,211754,17903,3000689,483492,109699
12 March 2021,112301,118086,91521,911631,167086,1291,1976757,234403,20226,3000689,519575,113038
13 March 2021,112301,118283,91748,911631,174327,1444,1976757,245355,21272,3000689,537965,114464
14 March 2021,112301,118301,91764,911631,179024,1444,1976757,252763,21413,3000689,550088,114621
15 March 2021,112301,118983,92579,911631,197743,1620,1976757,282970,29871,3000689,599696,124070
16 March 2021,112301,119531,93559,911631,216011,1754,1976757,312415,43891,3000689,647957,139204
17 March 2021,112301,120003,94619,911631,236230,1963,1976757,336132,63154,3000689,692365,159736
18 March 2021,112301,120608,99980,911631,257159,2040,1976757,356592,82412,3000689,734359,184432
19 March 2021,112301,121260,97465,911631,280221,2168,1976757,409121,99709,3000689,810602,199342
20 March 2021,112301,121373,97612,911631,287749,2585,1976757,415447,103069,3000689,824569,203266
21 March 2021,112301,121483,97660,911631,296700,2696,1976757,428256,103939,3000689,846439,204295
22 March 2021,112301,121834,98956,911631,314312,5263,1976757,443083,124036,3000689,879229,228255
23 March 2021,112301,122199,100218,911631,337760,9693,1976757,465428,148494,3000689,925387,258405
24 March 2021,112301,122616,101248,911631,373557,15380,1976757,501557,177455,3000689,997730,294083
25 March 2021,112301,122916,101602,911631,394412,22109,1976757,529155,187424,3000689,1046483,311135
26 March 2021,112301,123199,102584,911631,414506,29341,1976757,554981,211347,3000689,1092686,343272
27 March 2021,112301,123199,102672,911631,425054,31070,1976757,573482,217379,3000689,1121735,351121
28 March 2021,112301,123199,102692,911631,431190,31149,1976757,585999,219264,3000689,1140388,353105
29 March 2021,112301,123199,103537,911631,444817,42494,1976757,610227,242034,3000689,1178243,388065
30 March 2021,112301,123199,104246,911631,460787,54834,1976757,636631,266245,3000689,1220617,425325
31 March 2021,112301,123199,104773,911631,475190,66739,1976757,668989,287470,3000689,1267378,458982
1 April 2021,112301,124396,107368,911631,477295,77431,1976757,699688,300935,3000689,1301379,485734
2 April 2021,112301,124396,107368,911631,485807,80541,1976757,715419,302306,3000689,1325622,490215
3 April 2021,112301,121845,105485,911631,487262,83140,1976757,730364,305602,3000689,1339471,494227
4 April 2021,112301,121850,105514,911631,488136,83786,1976757,742355,308776,3000689,1352341,498076
5 April 2021,112301,122092,106037,911631,493235,109251,1976757,771861,330815,3000689,1387188,546103
6 April 2021,112301,122326,106437,911631,496569,124880,1976757,796248,349648,3000689,1415143,580965
7 April 2021,112301,122553,106800,911631,500370,142698,1976757,813740,369813,3000689,1436663,619311
8 April 2021,112301,123061,107175,911631,507667,148824,1976757,844961,388298,3000689,1475689,644297
9 April 2021,112301,123387,107509,911631,516816,166705,1976757,866503,402918,3000689,1506706,677132
10 April 2021,112301,123474,107573,911631,523861,173234,1976757,880884,406805,3000689,1528219,687612
11 April 2021,112301,123485,107583,911631,526687,177883,1976757,887215,412014,3000689,1537387,697480
12 April 2021,112301,123958,107968,911631,537125,196464,1976757,907936,424562,3000689,1569019,728994
13 April 2021,112301,124255,108205,911631,540904,210810,1976757,918905,430157,3000689,1584064,749172
14 April 2021,112301,124484,108418,911631,543256,231255,1976757,930601,443508,3000689,1598341,783181
15 April 2021,112301,124755,108761,911631,545822,252371,1976757,944880,452555,3000689,1615457,813687
16 April 2021,112301,125148,109038,911631,548314,272887,1976757,959985,458619,3000689,1633447,840544
17 April 2021,112301,125188,109105,911631,549011,278295,1976757,967733,461648,3000689,1641932,849048
18 April 2021,112301,125193,109105,911631,549394,281756,1976757,971708,466276,3000689,1646295,857137
19 April 2021,112301,125459,109299,911631,552556,308789,1976757,990548,475981,3000689,1668563,894069
20 April 2021,112301,125568,109421,911631,554268,320304,1976757,1007563,481378,3000689,1687399,911103
21 April 2021,112301,125808,109615,911631,556786,341170,1976757,1025472,493120,3000689,1708066,943905
22 April 2021,112301,126323,109990,911631,561547,370371,1976757,1058587,515356,3000689,1746457,995717
23 April 2021,112301,126594,110213,911631,564499,387901,1976757,1079773,530125,3000689,1770866,1028239
24 April 2021,112301,126642,110273,911631,565373,392124,1976757,1092495,543877,3000689,1784510,1046274
25 April 2021,112301,126663,110297,911631,565919,394656,1976757,1103805,554636,3000689,1796387,1059589
26 April 2021,112301,126864,110554,911631,568335,416922,1976757,1127512,577131,3000689,1822711,1104607
27 April 2021,112301,127101,110788,911631,570852,432310,1976757,1152521,699388,3000689,1850474,1242486
28 April 2021,112301,127317,111063,911631,572898,446748,1976757,1178054,625051,3000689,1878269,1182862
29 April 2021,112301,127525,111399,911631,574631,453025,1976757,1203940,650068,3000689,1906096,1214492
30 April 2021,112301,127800,111554,911631,576085,455627,1976757,1231164,664088,3000689,1935049,1231269
1 May 2021,112301,127812,111574,911631,576250,456820,1976757,1239584,676798,3000689,1943646,1245192
2 May 2021,112301,127813,111576,911631,576362,457590,1976757,1243811,687800,3000689,1947986,1256966
3 May 2021,112301,128009,111795,911631,577667,462354,1976757,1262887,712884,3000689,1968563,1287033
4 May 2021,112301,128375,112125,911631,578758,466027,1976757,1287142,735527,3000689,1994275,1313679
5 May 2021,112301,128537,112434,911631,579595,470116,1976757,1319068,756711,3000689,2027200,1339261
6 May 2021,112301,128715,112784,911631,581010,475633,1976757,1355054,778273,3000689,2064779,1366690
7 May 2021,112301,128893,113107,911631,581932,482803,1976757,1388224,799276,3000689,2099049,1395186
8 May 2021,112301,128918,113180,911631,582375,484444,1976757,1405753,808129,3000689,2117046,1405753
9 May 2021,112301,128923,113187,911631,582505,485431,1976757,1415570,816952,3000689,2126998,1415570
10 May 2021,112301,129109,113552,911631,583358,496586,1976757,1446273,835742,3000689,2158740,1445880
11 May 2021,112301,129269,113898,911631,583948,499734,1976757,1470603,848188,3000689,2183820,1461820
12 May 2021,112301,129295,113947,911631,584003,500318,1976757,1474854,855317,3000689,2188152,1469582
13 May 2021,112301,129295,113948,911631,584004,500337,1976757,1475068,855498,3000689,2188367,1469783
14 May 2021,112301,129295,113948,911631,584007,500353,1976757,1475317,855736,3000689,2188619,1470037
15 May 2021,112301,129313,113974,911631,584099,501780,1976757,1477975,862142,3000689,2191387,1477896
16 May 2021,112301,129318,113982,911631,584827,502660,1976757,1481782,867073,3000689,2195927,1483715
17 May 2021,112301,129401,114352,911631,585577,507155,1976757,1490559,888577,3000689,2205537,1510084
18 May 2021,112301,129533,114701,911631,586347,510664,1976757,1507872,915320,3000689,2223752,1540685
19 May 2021,112301,129714,115004,911631,587128,514002,1976757,1531144,937777,3000689,2247986,1566783
20 May 2021,112301,129893,115301,911631,587816,517660,1976757,1557616,966272,3000689,2275325,1599233
21 May 2021,112301,130014,115625,911631,588442,520855,1976757,1584442,990835,3000689,2302898,1627315
22 May 2021,112301,130055,115679,911631,588873,521910,1976757,1597118,1007097,3000689,2316046,1644686
23 May 2021,112301,130055,115685,911631,589306,522510,1976757,1605233,1018653,3000689,2324594,1656848
24 May 2021,112301,130064,115709,911631,589583,523390,1976757,1609867,1024668,3000689,2329514,1663767
25 May 2021,112301,130238,116082,911631,590267,526945,1976757,1652727,1061588,3000689,2373232,1704615
26 May 2021,112301,130312,116230,911631,591012,528669,1976757,1676765,1087265,3000689,2398089,1732164
27 May 2021,112301,130439,116619,911631,591661,531718,1976757,1707434,1121955,3000689,2429534,1770292
28 May 2021,112301,133442,119578,911631,591661,531718,1976757,1707434,1121955,3000689,2432537,1773251
29 May 2021,112301,133442,119578,911631,591661,531718,1976757,1707434,1121955,3000689,2432537,1773251
30 May 2021,112301,133466,119600,911631,591661,531718,1976757,1707434,1124013,3000689,2432561,1775331
31 May 2021,112301,133466,119600,911631,591661,531718,1976757,1794667,1145836,3000689,2519794,1797154
1 June 2021,112301,133593,119829,911631,591661,531832,1976757,1794667,1152681,3000689,2519921,1804342
2 June 2021,112301,133773,120240,911631,591661,532949,1976757,1794667,1176722,3000689,2520101,1829911
3 June 2021,112301,135712,120240,911631,593122,533954,1976757,1805312,1180307,3000689,2534146,1834501
4 June 2021,112301,135712,120490,911631,593332,534307,1976757,1846940,1186829,3000689,2575984,1841626
5 June 2021,112301,135712,120490,911631,593332,534407,1976757,1854565,1186860,3000689,2583609,1841757
6 June 2021,112301,135728,120491,911631,593332,534410,1976757,1856406,1186874,3000689,2585466,1841775
7 June 2021,112301,135728,120568,911631,593442,534697,1976757,1878591,1190433,3000689,2607761,1845698
8 June 2021,112301,135728,120568,911631,593442,535079,1976757,1951461,1197044,3000689,2680631,1845698
9 June 2021,112301,135728,120761,911631,593442,535079,1976757,1999271,1199225,3000689,2728441,1845698
10 June 2021,112301,135728,120833,911631,595046,535273,1976757,2059479,1202304,3000689,2790253,1858410
11 June 2021,112301,135728,120932,911631,595046,535273,1976757,2141397,1205366,3000689,2872171,1861571
12 June 2021,112301,135728,120935,911631,595046,535273,1976757,2150108,1205710,3000689,2880882,1861918
13 June 2021,112301,135728,120935,911631,595046,535273,1976757,2150152,1205747,3000689,2880926,1861955
14 June 2021,112301,135728,120935,911631,595046,535273,1976757,2235051,1210934,3000689,2965825,1867142
15 June 2021,112301,135728,120935,911631,595046,535273,1976757,2310799,1215119,3000689,3041573,1871327
16 June 2021,112301,135728,120935,911631,595046,535273,1976757,2400877,1218963,3000689,3131651,1875171
17 June 2021,112301,135728,120935,911631,595046,535273,1976757,2400877,1218963,3000689,3131651,1875171
18 June 2021,112301,135728,120935,911631,595046,535273,1976757,2508477,1224789,8815157,3239251,1880997
19 June 2021,112301,135728,120935,911631,595046,535273,1976757,2613480,1230115,8815157,3344254,1886323
20 June 2021,112301,135728,121377,911631,595654,535273,1976757,2653322,1230107,8815157,3384704,1886757
21 June 2021,112301,135728,121377,911631,595654,535273,1976757,2668463,1230605,8815157,3399845,1887255
22 June 2021,112301,135728,121377,911631,595654,535273,1976757,2781630,1235008,8815157,3513012,1891658
23 June 2021,112301,135728,121377,911631,595654,535273,1976757,2861777,1238158,8815157,3593159,1894808
24 June 2021,112301,135728,121377,911631,595654,535273,1976757,3022069,1241917,8815157,3753451,1898567
25 June 2021,112301,135728,121377,911631,595654,535273,1976757,3152714,1245683,8815157,3884096,1902333
26 June 2021,112301,135728,121377,911631,595654,535273,1976757,3286874,1250631,8815157,4018256,1907281
27 June 2021,112301,135728,121377,911631,595654,535273,1976757,3346354,1254580,8815157,4077736,1911230
28 June 2021,112301,136733,121794,911631,599877,535273,1976757,3368399,1255847,8815157,4105009,1912914
29 June 2021,112301,136733,121794,911631,599877,535273,1976757,3496352,1260595,8815157,4232962,1917662
30 June 2021,112301,136733,121794,911631,599877,535273,1976757,3629039,1263178,8815157,4365649,1920245
1 July 2021,112301,136733,121794,911631,599877,535273,1976757,3761641,1267783,8815157,4498251,1924850
2 July 2021,112301,136733,121794,911631,599877,535273,1976757,3867687,1272047,8815157,4604297,1929114
3 July 2021,112301,136733,121794,911631,599877,535273,1976757,3945402,1274738,8815157,4682012,1931805
4 July 2021,112301,136733,121794,911631,599877,535273,1976757,4064047,1278202,8815157,4800657,1935269
5 July 2021,112301,136733,121794,911631,599877,535273,1976757,4091384,1278790,8815157,4827994,1935857
6 July 2021,112301,136733,121794,911631,599877,535273,1976757,4173066,1281036,8815157,4909676,1938103
7 July 2021,112301,136733,121794,911631,599877,535273,1976757,4336223,1286025,8815157,5072833,1943092
8 July 2021,112301,136733,121794,911631,599877,535273,1976757,4425085,1288054,8815157,5161695,1945121
9 July 2021,112301,136733,121794,911631,599877,535273,1976757,4651990,1293428,8815157,5388600,1950495
10 July 2021,112301,136733,121794,911631,599877,535273,1976757,4686935,1293976,8815157,5423545,1951043
11 July 2021,112301,136733,121794,911631,599877,535273,1976757,4705083,1294418,8815157,5441693,1951485
12 July 2021,112301,136733,121794,911631,599877,535273,1976757,4729394,1294628,8815157,5466004,1951695
13 July 2021,112301,136733,121794,911631,599877,535273,1976757,4807725,1295799,8815157,5544335,1952866
14 July 2021,112301,136733,121794,911631,623508,539719,1976757,5165244,1304367,8815157,5925485,1965880
15 July 2021,112301,136733,121794,911631,625214,539900,1976757,5308046,1308614,8815157,6069993,1970308
16 July 2021,112301,136733,121794,911631,627222,540127,1976757,5473787,1314975,8815157,6237742,1976896
17 July 2021,112301,136733,121794,911631,628944,540338,1976757,5633668,1325708,8815157,6399345,1987840
18 July 2021,112301,136733,121794,911631,629950,540406,1976757,5718225,1334017,8815157,6484908,1996217
19 July 2021,112301,136733,121794,911631,629950,540406,1976757,5771763,1339813,8815157,6538446,2002013
20 July 2021,112301,136733,121794,911631,629950,540406,1976757,5879802,1359286,8815157,6646485,2021486
21 July 2021,112301,136733,121794,911631,629950,540406,1976757,5885328,1359580,8815157,6652011,2021780
22 July 2021,112301,136733,121794,911631,629950,540406,1976757,5986605,1405433,8815157,6753288,2067633
23 July 2021,112301,136733,121794,911631,629950,540406,1976757,6103614,1461849,8815157,6870297,2124049
24 July 2021,112301,141604,123670,911631,629950,540406,1976757,6210875,1527331,8815157,6982429,2191407
25 July 2021,112301,141704,123789,911631,629950,540406,1976757,6278994,1557671,8815157,7050648,2221866
26 July 2021,112301,141739,123811,911631,629950,540406,1976757,6326313,1574659,8815157,7098002,2238876
27 July 2021,112301,141920,124084,911631,629950,540406,1976757,6437603,1657041,8815157,7209473,2321531
28 July 2021,112301,142112,124297,911631,629950,540406,1976757,6554143,1745969,8815157,7326205,2410672
29 July 2021,112301,142317,124541,911631,629950,540406,1976757,6510402,1761561,8815157,7282669,2426508
30 July 2021,112301,142571,124864,911631,629950,540406,1976757,6627899,1877760,8815157,7400420,2543030
31 July 2021,112301,142855,125273,911631,629950,540406,1976757,6734535,2001620,8815157,7507340,2667299
1 August 2021,112301,142972,125395,911631,629950,540406,1976757,6824921,2050320,8815157,7597843,2716121
2 August 2021,112301,143056,125439,911631,738421,629025,1976757,6786017,1990252,8815157,7667494,2744716
3 August 2021,112301,143333,125814,911631,738421,629025,1976757,6918588,2110197,8815157,7800342,2865036
4 August 2021,112301,143589,126105,911631,741612,634130,1976757,7033531,2224009,8815157,7918732,2984244
5 August 2021,112301,143883,126483,911631,744893,635953,1976757,7143488,2320699,8815157,8032264,3083135
6 August 2021,112301,143973,126651,911631,745532,636501,1976757,7212559,2347229,8815157,8102064,3110381
7 August 2021,112301,144251,127046,911631,747355,637868,1976757,7294189,2419482,8815157,8185795,3184396
8 August 2021,112301,144251,127046,911631,754010,641606,1976757,7472929,2647312,8941211,8371190,3415964
9 August 2021,112301,144251,127046,911631,758203,643520,1976757,7605181,2762080,8941211,8507635,3532646
10 August 2021,112301,144251,127046,911631,761941,646255,1976757,7723897,2897904,8941211,8630089,3671205
11 August 2021,112301,144251,127046,911631,764676,648078,1976757,7813719,3009229,8941211,8722646,3784353
12 August 2021,112301,144251,127046,911631,765861,648716,1976757,7861445,3045017,8941211,8771557,3820779
13 August 2021,112301,144512,129007,911631,768414,651907,1976757,7948338,3227035,8941211,8861264,4007949
14 August 2021,112301,144815,129662,911631,770875,654642,1976757,8036003,3397014,8941211,8951693,4181318
15 August 2021,112301,144930,129959,911631,771878,655827,1976757,8100243,3474465,8941211,9017051,4260251
16 August 2021,112301,145012,130106,911631,772972,656556,1976757,8151366,3523733,8941211,9069350,4310395
17 August 2021,112301,145377,130598,911631,774339,658653,1976757,8231512,3645545,8941211,9151228,4434796
18 August 2021,112301,145437,130664,911631,774795,658927,1976757,8270704,3659507,8941211,9190936,4449098
19 August 2021,112301,145760,131099,911631,776527,660659,1976757,8318021,3769857,8941211,9240308,4561615
20 August 2021,112301,146009,131541,911631,778077,662573,1976757,8360969,3885330,8941211,9285055,4679444
21 August 2021,112301,146276,131945,911631,779171,663758,1976757,8393744,3967204,8941211,9319191,4762907
22 August 2021,112301,146472,132277,911631,780174,664943,1976757,8424447,4048051,8941211,9351093,4845271
23 August 2021,112301,146495,132325,911631,780447,665399,1976757,8436966,4081847,8941211,9363908,4879571
24 August 2021,112301,146752,132749,911631,781906,667040,1976757,8480560,4178798,8941211,9409218,4978587
25 August 2021,112301,146976,133152,911631,783547,668863,1976757,8527088,4285995,8941211,9457611,5088010
26 August 2021,112301,147447,133747,911631,785279,670869,1976757,8572954,4392765,8941211,9505680,5197381
27 August 2021,112301,147717,134070,911631,787193,673057,1976757,8619388,4510822,8941211,9554298,5317949
28 August 2021,112301,148087,134753,911631,789563,676339,1976757,8685051,4679799,8941211,9622701,5490891
29 August 2021,112301,148137,134806,911631,789746,676703,1976757,8692003,4695753,8941211,9629886,5507262
30 August 2021,112301,148144,134817,911631,789837,676704,1976757,8692566,4696182,8941211,9630547,5507703
31 August 2021,112301,148371,135265,911631,792025,680168,1976757,8750518,4849271,8941211,9690914,5664704
1 September 2021,112301,148549,135679,911631,793939,682994,1976757,8794671,4964165,8941211,9737159,5782838
2 September 2021,112301,148706,135904,911631,795398,685546,1976757,8829282,5073284,8941211,9773386,5894734
3 September 2021,112301,148919,136308,911631,797221,688468,1976757,8874921,5204054,8941211,9821061,6028830
4 September 2021,112301,149156,136660,911631,798953,691472,1976757,8918236,5338516,8941211,9866345,6166648
5 September 2021,112301,149215,136736,911631,799683,692292,1976757,8941021,5375040,8941211,9889919,6204068
6 September 2021,112301,149230,136752,911631,800138,692931,1976757,8951542,5395864,8941211,9900910,6225547
7 September 2021,112301,149369,137004,911631,801779,696030,1976757,8984961,5519947,8941211,9936109,6352981
8 September 2021,112301,149505,137342,911631,803420,698856,1976757,9020873,5641998,8941211,9973798,6478196
9 September 2021,112301,149657,137582,911631,806793,701226,1976757,9051469,5753145,8941211,10007919,6591953
10 September 2021,112301,149824,137875,911631,814725,709613,1976757,9078159,5874144,8941211,10042708,6721632
11 September 2021,112301,177478,161229,911631,815454,710707,1976757,9090235,5999406,8941211,10083167,6871342
12 September 2021,112301,177478,161283,911631,815545,711072,1976757,9095189,6018966,8941211,10088212,6891321
13 September 2021,112301,177478,161319,911631,815909,711437,1976757,9101972,6038253,8941211,10095359,6911009
14 September 2021,112301,177483,161693,911631,817277,713351,1976757,9129541,6148243,8941211,10124301,7023287
15 September 2021,112301,177663,162072,911631,818189,714536,1976757,9147818,6238476,8941211,10143670,7115084
16 September 2021,112301,177901,162537,911631,819556,716450,1976757,9172506,6340474,8941211,10169963,7219461
17 September 2021,112301,177985,162695,911631,820376,716906,1976757,9189604,6374609,8941211,10187965,7254210
18 September 2021,112301,178023,163111,911631,821835,718183,1976757,9221314,6475650,8941211,10221172,7356944
19 September 2021,112301,178023,163231,911631,822473,719550,1976757,9231868,6524554,8941211,10232364,7407335
20 September 2021,112301,178040,163274,911631,823020,719915,1976757,9241610,6539356,8941211,10242670,7422545
21 September 2021,112301,178102,163332,911631,823932,720097,1976757,9252479,6542371,8941211,10254513,7425800
22 September 2021,112301,178562,163988,911631,825299,721100,1976757,9285797,6608231,8941211,10289658,7493319
23 September 2021,112301,178646,164106,911631,826211,721282,1976757,9303235,6629697,8941211,10308092,7515085
